timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage,trajectory_type
1782704555681519,2,14,0.9734897,0.2583923,-1.9921083,0.045196634,-0.17394215,0.00043484458,0.9988896774910984,0.05646999585744534,-2.0,figure8,figure8
1782704555731586,2,14,0.97486097,0.2497077,-1.9916694,0.041762743,-0.17535757,0.00038813803,0.9992292873741561,0.047067804427321634,-2.0,figure8,figure8
1782704555781566,2,14,0.97610545,0.24209858,-1.9912286,0.039133906,-0.17670599,0.00017558594,0.9995066589370057,0.03767055319531601,-2.0,figure8,figure8
1782704555831606,2,14,0.97744477,0.234401,-1.9907701,0.036791578,-0.17800136,-0.00013862195,0.9997226535952821,0.028252503199862514,-2.0,figure8,figure8
1782704555881535,2,14,0.9787289,0.22648436,-1.9902389,0.03464072,-0.17953576,-0.00041742428,0.9998766069536582,0.018848404659539297,-2.0,figure8,figure8
1782704555931572,2,14,0.98020715,0.2169049,-1.9896986,0.03251191,-0.1814952,-0.0010153648,0.9999691902376102,0.009419409817636013,-2.0,figure8,figure8
1782704555981650,2,14,0.98150057,0.20839699,-1.9893701,0.030676827,-0.18328843,-0.0015137023,0.9999999998662625,-1.962559213504376e-05,-2.0,figure8,figure8
1782704556031844,2,14,0.9828612,0.1996659,-1.9891467,0.029135343,-0.18521108,-0.0021786501,0.9999687884485952,-0.009480625204189566,-2.0,figure8,figure8
1782704556081488,2,14,0.9842029,0.19071311,-1.9891162,0.027870405,-0.18709362,-0.0028294001,0.9998767735239881,-0.018835682397737478,-2.0,figure8,figure8
1782704556131461,2,14,0.9856907,0.18010215,-1.9893987,0.026492413,-0.18946303,-0.003581716,0.9997227443494472,-0.028247883590384913,-2.0,figure8,figure8
1782704556181713,2,14,0.98681134,0.17083925,-1.9898071,0.02535177,-0.19147122,-0.0039675874,0.9995057364947894,-0.03770571118878186,-2.0,figure8,figure8
1782704556231694,2,14,0.98788375,0.1613946,-1.9903557,0.024198132,-0.19342181,-0.0042440505,0.9992281210023212,-0.04710333769474357,-2.0,figure8,figure8
1782704556281520,2,14,0.9888909,0.15161537,-1.9910016,0.022951638,-0.19549727,-0.0043516117,0.9988900625378613,-0.056460230645774254,-2.0,figure8,figure8
1782704556331546,2,14,0.9899539,0.14002877,-1.991646,0.021403315,-0.19767787,-0.0043515833,0.9984890910286549,-0.06584072604840176,-2.0,figure8,figure8
1782704556381527,2,14,0.99075824,0.13001582,-1.9921546,0.020035246,-0.19932318,-0.0041552354,0.9980269123611604,-0.0751964526024331,-2.0,figure8,figure8
1782704556431484,2,14,0.9915089,0.119951226,-1.9926081,0.018864788,-0.20077953,-0.0038652096,0.997503483280067,-0.08452918450170052,-2.0,figure8,figure8
1782704556481583,2,14,0.99208033,0.109850824,-1.9930358,0.017405905,-0.20203704,-0.0035162703,0.9969168753744357,-0.09386760286100199,-2.0,figure8,figure8
1782704556531482,2,14,0.9926073,0.09814358,-1.9935803,0.015561872,-0.20295635,-0.0032871915,0.9962712413128293,-0.10314561134884576,-2.0,figure8,figure8
1782704556582410,2,14,0.99290645,0.08826523,-1.994056,0.013946795,-0.20336887,-0.0029283103,0.9955491822003907,-0.11258877451121403,-2.0,figure8,figure8
1782704556631727,2,14,0.99317575,0.07861558,-1.9945202,0.012397985,-0.20329674,-0.002643498,0.994789239531663,-0.12170583161865549,-2.0,figure8,figure8
1782704556681596,2,14,0.99347866,0.06907382,-1.9950984,0.010999159,-0.20300712,-0.0023011537,0.9939600889534073,-0.13089519192059515,-2.0,figure8,figure8
1782704556731462,2,14,0.99386173,0.058094203,-1.9959698,0.009531737,-0.20230187,-0.0020938567,0.9930699961630554,-0.1400519370441058,-2.0,figure8,figure8
1782704556781697,2,14,0.99422544,0.048767522,-1.996814,0.008607272,-0.20156923,-0.0016779486,0.9921117185260039,-0.1492415909385946,-2.0,figure8,figure8
1782704556831461,2,14,0.9946312,0.03944546,-1.9977689,0.0076119048,-0.20070934,-0.0010811249,0.9911015159013621,-0.15830845202839613,-2.0,figure8,figure8
1782704556881595,2,14,0.9950786,0.030208223,-1.998811,0.0065490888,-0.1996797,-0.00063420954,0.9900225570707644,-0.16740366492285644,-2.0,figure8,figure8
1782704556931688,2,14,0.9956027,0.019550351,-2.0000653,0.005375234,-0.19839728,2.0738844e-05,0.9888831672021967,-0.176449894636423,-2.0,figure8,figure8
1782704556981531,2,14,0.9959803,0.010393724,-2.001079,0.00434596,-0.19740368,0.00077920797,0.9876886928909786,-0.18540762643010297,-2.0,figure8,figure8
1782704557031558,2,14,0.99633074,0.0012849262,-2.001924,0.003333974,-0.19650643,0.0018597369,0.98642892636091,-0.19435273839327596,-2.0,figure8,figure8
1782704557081565,2,14,0.9966942,-0.0077951574,-2.0025845,0.0023453524,-0.19587009,0.0029715723,0.9851088067601185,-0.20324616297418074,-2.0,figure8,figure8
1782704557131617,2,14,0.9969895,-0.018310158,-2.0032275,0.0012584548,-0.19519474,0.004152773,0.9837266082323172,-0.21209753140669682,-2.0,figure8,figure8
1782704557181566,2,14,0.99705833,-0.027330006,-2.0036013,0.00022022222,-0.1947178,0.0050865356,0.9822866464184777,-0.22087832984337535,-2.0,figure8,figure8
1782704557231473,2,14,0.99697506,-0.036388516,-2.0038176,-0.00082355784,-0.1941891,0.0057268976,0.980787520773751,-0.22959732745749356,-2.0,figure8,figure8
1782704557281966,2,14,0.9967405,-0.045423828,-2.0039718,-0.0020606567,-0.19375834,0.0064507932,0.9792094338652436,-0.2383613677784738,-2.0,figure8,figure8
1782704557331456,2,14,0.9963547,-0.05579143,-2.0040922,-0.0036130303,-0.19298488,0.0069781453,0.977602895256768,-0.2468932464145784,-2.0,figure8,figure8
1782704557381504,2,14,0.9959831,-0.0645652,-2.004088,-0.0047729714,-0.19236563,0.007133322,0.9759181890909401,-0.25546047126472055,-2.0,figure8,figure8
1782704557431533,2,14,0.99554604,-0.07315566,-2.003988,-0.0060209204,-0.19158751,0.007365691,0.9741738292636678,-0.2639613910621237,-2.0,figure8,figure8
