timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658850977465,2,14,0.05453752,0.0945924,-1.4177833,-0.063300274,-0.067130625,-0.28004697,0.0,0.0,-2.0,hover
1782658851027362,2,14,0.053334553,0.08980372,-1.4310368,-0.061995447,-0.0881938,-0.27252206,0.0,0.0,-2.0,hover
1782658851077457,2,14,0.052036013,0.0837746,-1.4440416,-0.06086128,-0.10744794,-0.265036,0.0,0.0,-2.0,hover
1782658851127327,2,14,0.050356485,0.07537134,-1.4588151,-0.059894357,-0.12734091,-0.25652936,0.0,0.0,-2.0,hover
1782658851177398,2,14,0.04868607,0.06736316,-1.4710317,-0.059470452,-0.14157638,-0.24919006,0.0,0.0,-2.0,hover
1782658851227391,2,14,0.04676325,0.0589049,-1.4828953,-0.059583068,-0.15275335,-0.2420951,0.0,0.0,-2.0,hover
1782658851277369,2,14,0.04466621,0.05013039,-1.4944602,-0.059728067,-0.16098282,-0.23501694,0.0,0.0,-2.0,hover
1782658851327440,2,14,0.04199685,0.03956444,-1.5073504,-0.060156133,-0.16703331,-0.22667298,0.0,0.0,-2.0,hover
1782658851377519,2,14,0.03951992,0.030439021,-1.5178161,-0.060891718,-0.16929942,-0.22010072,0.0,0.0,-2.0,hover
1782658851427300,2,14,0.03679616,0.02140334,-1.5276893,-0.061781302,-0.16904184,-0.21341631,0.0,0.0,-2.0,hover
1782658851477492,2,14,0.033675183,0.012590295,-1.5370957,-0.06292107,-0.16646835,-0.20722444,0.0,0.0,-2.0,hover
1782658851527415,2,14,0.029316667,0.0027866247,-1.5475109,-0.064567424,-0.16057959,-0.20081076,0.0,0.0,-2.0,hover
1782658851577505,2,14,0.025144797,-0.005216458,-1.5559858,-0.06626619,-0.15361977,-0.19565861,0.0,0.0,-2.0,hover
1782658851627555,2,14,0.020748971,-0.012752184,-1.564093,-0.06781078,-0.14502287,-0.1911044,0.0,0.0,-2.0,hover
1782658851677398,2,14,0.01623497,-0.019579837,-1.5718398,-0.06902676,-0.13511634,-0.18709385,0.0,0.0,-2.0,hover
1782658851727340,2,14,0.010848343,-0.026567157,-1.5805339,-0.070007145,-0.1221438,-0.18306908,0.0,0.0,-2.0,hover
1782658851777645,2,14,0.0061890385,-0.031566717,-1.5878367,-0.07033626,-0.109872535,-0.17994879,0.0,0.0,-2.0,hover
1782658851827502,2,14,0.001691689,-0.035599805,-1.5951006,-0.06986481,-0.09692662,-0.17712998,0.0,0.0,-2.0,hover
